category,sleeveType,premium,costPrice,price
jaqueta,Manga longa,no,24,39
short jeans,unknown,no,34,40
short,unknown,no,16,30
calça aladin,unknown,no,26,35
blusa,Manga longa,no,28,30
short,unknown,no,18,30
vestido jeans colado medio,Manga curta,yes,25,34
saia,unknown,no,18,30
jaqueta,Manga longa,no,39,49
vestido colado longo,regata,no,19,34
calça jeans wide leg,unknown,no,27,47
short jeans,unknown,no,18,30
calça,unknown,yes,39,46
macaquinho,Manga longa,no,16,31
calça mom,unknown,no,28,35
t-shirt,unknown,no,31,32
calça jeans skinny,unknown,no,43,50
vestido solto longo,regata,no,27,41
sueter,Manga longa,no,24,35
cropped,Manga curta,no,25,27
vestido jeans colado medio,Manga longa,yes,26,34
macaquinho,Uma manga só,no,47,47
blazer,Manga longa,no,40,50
short,unknown,no,36,38
vestido colado medio,Manga longa,yes,15,25
macacao longo,Manga 3/4,no,36,46
saia,unknown,no,30,32
vestido jeans colado curto,Manga longa,no,25,30
saia,unknown,no,36,39
saia jeans,unknown,no,29,39
vestido jeans colado curto,Manga curta,no,23,28
vestido jeans solto longo,Manga curta,yes,23,41
calça jeans skinny,unknown,no,39,49
t-shirt,unknown,no,10,20
vestido colado curto,Manga curta,no,50,50
saia jeans,unknown,no,35,41
vestido jeans solto longo,regata,no,32,46
vestido jeans solto longo,Manga curta,no,46,46
blazer,Manga longa,no,17,35
vestido jeans colado medio,Manga 3/4,no,19,24
calça jeans aladin,unknown,yes,32,50
vestido colado longo,Manga 3/4,no,36,48
blusa,Manga 3/4,no,24,27
calça jeans mom,unknown,yes,44,50
short jeans,unknown,yes,25,39
vestido jeans solto medio,Manga 3/4,no,18,23
blusa,Manga longa,no,10,20
short,unknown,no,28,32
calça mom,unknown,no,29,35
short,unknown,yes,34,39
short jeans,unknown,yes,34,44
short jeans,unknown,no,21,31
macaquinho,Manga curta,yes,29,43
vestido jeans solto longo,Manga 3/4,no,37,48
calça aladin,unknown,yes,26,40
macacao longo,Manga 3/4,yes,19,38
sueter,Manga longa,no,32,40
calça mom,unknown,no,16,30
saia,unknown,no,18,30
vestido jeans colado curto,Manga 3/4,yes,40,43
saia jeans,unknown,no,34,40
vestido solto curto,regata,no,24,28
short,unknown,no,26,32
jaqueta,Manga longa,yes,25,43
vestido jeans solto longo,regata,no,40,49
short,unknown,no,41,42
cardigan,Manga longa,yes,15,35
vestido jeans colado medio,Uma manga só,no,19,24
sueter,Manga longa,no,36,40
calça jeans wide leg,unknown,no,20,44
macacao longo,Uma manga só,no,19,35
calça wide leg,unknown,no,24,33
cropped,regata,yes,21,30
saia jeans,unknown,yes,31,44
calça,unknown,no,27,35
cardigan,Manga longa,no,22,35
vestido jeans solto longo,Manga 3/4,no,18,33
vestido jeans solto medio,Manga longa,yes,25,34
saia jeans,unknown,yes,39,48
calça jeans aladin,unknown,no,41,50
short jeans,unknown,no,30,40
jaqueta,Manga longa,yes,38,50
vestido jeans solto longo,Uma manga só,no,29,44
blusa,Manga curta,no,16,21
jaqueta,Manga longa,no,32,43
calça wide leg,unknown,no,36,39
short,unknown,yes,38,43
calça jeans wide leg,unknown,no,39,50
vestido jeans colado curto,regata,yes,21,31
calça mom,unknown,yes,38,44
short jeans,unknown,no,31,40
calça,unknown,no,25,35
short jeans,unknown,no,35,40
sueter,Manga longa,no,36,40
calça jeans skinny,unknown,no,28,48
vestido colado longo,Manga curta,yes,23,43
calça wide leg,unknown,no,17,30
saia,unknown,no,16,30
calça jeans mom,unknown,no,21,45
blusa,Uma manga só,yes,11,23
cropped,Manga 3/4,no,10,20
cropped,regata,no,15,20
saia jeans,unknown,no,29,39
vestido solto curto,Manga 3/4,no,32,36
blusa,regata,no,13,20
sueter,Manga longa,yes,26,41
calça jeans aladin,unknown,no,32,50
saia jeans,unknown,no,36,41
saia jeans,unknown,no,40,45
blazer,Manga longa,no,25,41
blusa,Manga 3/4,no,33,33
vestido jeans solto longo,Uma manga só,yes,26,46
vestido jeans colado curto,Uma manga só,yes,21,29
macacao longo,Manga 3/4,no,15,35
cropped,Manga curta,yes,14,25
vestido jeans colado curto,Manga longa,no,20,25
macaquinho,Uma manga só,no,39,41
blazer,Manga longa,yes,40,50
saia jeans,unknown,yes,37,46
jaqueta,Manga longa,no,15,35
short jeans,unknown,yes,38,48
vestido jeans solto longo,Manga 3/4,yes,39,50
leggings,unknown,no,17,30
leggings,unknown,no,20,30
short jeans,unknown,no,36,42
vestido jeans colado medio,regata,no,26,31
calça jeans skinny,unknown,no,24,45
vestido solto medio,Manga curta,no,36,37
sueter,Manga longa,no,38,42
vestido colado longo,Manga curta,yes,33,50
saia jeans,unknown,no,25,35
vestido colado longo,Manga curta,no,32,46
vestido jeans colado curto,Uma manga só,yes,15,23
short,unknown,no,20,30
calça jeans mom,unknown,yes,31,50
vestido jeans solto curto,regata,no,25,30
blusa,Manga 3/4,no,23,26
macacao longo,Manga curta,no,15,35
vestido jeans colado curto,regata,yes,29,38
calça jeans skinny,unknown,no,30,49
calça jeans aladin,unknown,no,20,45
vestido colado longo,Manga curta,no,15,30
blusa,regata,no,28,29
calça jeans wide leg,unknown,no,48,50
blusa,Uma manga só,no,19,23
vestido colado longo,regata,no,23,38
vestido jeans solto curto,Manga curta,no,38,39
calça aladin,unknown,no,39,42
vestido jeans solto medio,Manga curta,yes,29,37
vestido solto longo,regata,no,27,42
macaquinho,Manga 3/4,yes,26,39
cropped,Manga curta,yes,15,23
vestido colado medio,Manga curta,no,24,30
blazer,Manga longa,yes,18,38
vestido jeans colado medio,Manga curta,no,21,26
t-shirt,unknown,no,32,33
vestido jeans solto curto,Uma manga só,no,22,27
blusa,Manga 3/4,no,25,27
saia,unknown,no,29,32
saia,unknown,no,15,30
blazer,Manga longa,no,33,43
blusa,Uma manga só,no,20,25
short jeans,unknown,yes,40,47
calça skinny,unknown,yes,23,36
cropped,Manga curta,no,31,32
saia,unknown,no,16,30
macaquinho,Manga curta,no,32,41
vestido colado longo,regata,yes,39,50
calça jeans aladin,unknown,no,34,51
calça jeans,unknown,yes,22,48
calça jeans skinny,unknown,no,32,50
macaquinho,Uma manga só,yes,26,41
vestido jeans solto curto,Manga 3/4,no,40,40
vestido solto medio,Manga longa,no,35,37
vestido jeans solto medio,Manga longa,yes,36,43
vestido jeans colado curto,regata,no,25,29
leggings,unknown,no,29,35
short jeans,unknown,no,29,39
leggings,unknown,no,18,30
vestido jeans colado medio,Manga longa,yes,33,40
vestido solto longo,regata,yes,21,39
macaquinho,Uma manga só,no,29,39
vestido jeans colado curto,Manga 3/4,no,32,36
t-shirt,unknown,no,10,19
vestido colado medio,Uma manga só,no,28,33
macacao longo,Uma manga só,yes,39,50
calça jeans skinny,unknown,no,36,49
blazer,Manga longa,yes,18,39
vestido jeans colado curto,Manga 3/4,no,35,37
calça jeans,unknown,no,45,50
calça jeans,unknown,no,41,50
calça jeans aladin,unknown,yes,22,50
vestido jeans solto medio,Manga curta,yes,27,36
leggings,unknown,yes,19,34
vestido jeans solto curto,Manga longa,yes,18,25
vestido jeans solto longo,Manga 3/4,no,30,45
jaqueta,Manga longa,no,31,41
vestido jeans solto longo,Manga 3/4,yes,36,50
blazer,Manga longa,no,43,45
macaquinho,Manga curta,no,33,40
macaquinho,Manga 3/4,no,18,33
short,unknown,yes,33,40
saia jeans,unknown,yes,16,35
t-shirt,unknown,no,12,20
sueter,Manga longa,yes,26,40
calça jeans skinny,unknown,no,29,49
blusa,Manga longa,yes,27,31
vestido jeans solto medio,regata,yes,35,40
calça aladin,unknown,no,48,49
calça jeans mom,unknown,no,15,45
jaqueta,Manga longa,no,28,40
vestido jeans colado curto,Manga curta,no,48,49
vestido jeans solto curto,Manga 3/4,no,23,28
leggings,unknown,no,28,35
calça jeans aladin,unknown,no,33,50
vestido jeans solto curto,Manga longa,no,38,39
calça jeans mom,unknown,no,33,50
short jeans,unknown,no,18,30
blazer,Manga longa,no,16,35
vestido jeans solto longo,regata,yes,33,50
blusa,Uma manga só,no,23,27
calça jeans mom,unknown,no,34,51
macacao longo,regata,yes,40,51
saia,unknown,no,33,35
calça jeans mom,unknown,no,36,50
short,unknown,no,26,32
blusa,Manga 3/4,no,32,33
vestido jeans solto curto,regata,yes,22,33
vestido jeans colado curto,regata,no,27,32
short jeans,unknown,no,24,34
short jeans,unknown,no,32,40
vestido jeans solto curto,Manga 3/4,no,16,21
vestido jeans solto curto,Manga curta,no,40,41
vestido jeans solto curto,Manga longa,no,34,37
blazer,Manga longa,no,33,43
vestido solto curto,regata,no,24,29
short jeans,unknown,no,23,33
calça jeans skinny,unknown,yes,35,50
short jeans,unknown,no,21,30
macacao longo,Manga 3/4,no,26,39
blazer,Manga longa,no,30,40
calça jeans,unknown,no,43,50
sueter,Manga longa,no,36,40
blazer,Manga longa,yes,26,43
calça jeans skinny,unknown,yes,23,50
cropped,regata,yes,32,38
vestido jeans solto longo,Manga 3/4,no,36,48
calça jeans,unknown,no,32,50
saia,unknown,no,24,31
vestido jeans colado curto,Uma manga só,no,38,39
cardigan,Manga longa,no,16,30
t-shirt,unknown,no,33,33
cardigan,Manga longa,no,37,41
short,unknown,no,33,35
vestido jeans colado medio,Manga curta,no,33,36
calça jeans skinny,unknown,yes,34,50
vestido solto medio,Manga 3/4,no,34,36
cropped,Manga curta,yes,16,24
sueter,Manga longa,yes,31,44
short,unknown,no,21,30
calça jeans skinny,unknown,no,15,45
saia jeans,unknown,no,18,30
leggings,unknown,no,33,37
cropped,Manga 3/4,no,28,30
vestido solto longo,Uma manga só,no,38,49
sueter,Manga longa,no,43,43
calça aladin,unknown,yes,16,34
cropped,Manga curta,no,32,33
vestido jeans solto curto,Manga curta,no,29,35
vestido solto longo,Manga longa,no,21,36
calça jeans aladin,unknown,yes,31,50
vestido jeans solto curto,Manga curta,yes,31,40
blusa,Manga curta,yes,26,33
vestido jeans solto curto,Manga curta,no,31,36
vestido jeans colado medio,Uma manga só,no,22,27
vestido jeans solto longo,Uma manga só,no,29,44
calça jeans skinny,unknown,yes,40,50
cardigan,Manga longa,no,27,37
vestido colado longo,Manga curta,yes,28,48
calça jeans skinny,unknown,no,30,50
vestido solto longo,Manga curta,no,35,47
vestido jeans solto medio,Manga 3/4,yes,28,38
calça jeans skinny,unknown,no,42,50
macaquinho,Uma manga só,no,26,36
t-shirt,unknown,yes,22,31
calça mom,unknown,no,25,35
macaquinho,Manga longa,yes,35,45
vestido jeans colado curto,Uma manga só,yes,22,30
sueter,Manga longa,no,37,41
calça,unknown,no,32,36
blazer,Manga longa,no,33,43
calça skinny,unknown,yes,29,38
jaqueta,Manga longa,yes,15,40
blusa,Manga curta,no,32,32
vestido jeans solto longo,Manga 3/4,no,24,38
vestido jeans solto longo,Uma manga só,no,32,45
vestido jeans solto longo,regata,no,39,50
vestido jeans solto longo,Manga curta,yes,19,38
vestido jeans solto medio,regata,no,23,28
calça mom,unknown,no,29,35
saia,unknown,yes,38,45
calça,unknown,no,35,38
sueter,Manga longa,no,38,41
cardigan,Manga longa,no,30,40
blusa,Manga curta,no,14,20
vestido jeans solto medio,Manga longa,no,32,36
saia jeans,unknown,yes,21,35
saia,unknown,yes,31,37
cardigan,Manga longa,yes,17,35
vestido jeans solto medio,regata,no,15,19
vestido jeans colado medio,Manga 3/4,yes,39,44
cropped,Manga curta,no,28,30
macaquinho,Manga 3/4,yes,18,39
short,unknown,no,20,30
saia,unknown,no,22,31
macacao longo,Manga curta,no,25,40
macacao longo,Manga longa,no,18,34
short,unknown,yes,38,44
cropped,Manga 3/4,no,34,34
vestido jeans solto medio,Manga 3/4,no,36,38
macacao longo,Manga 3/4,no,19,35
blusa,Manga longa,yes,29,33
vestido solto medio,Manga curta,no,37,38
vestido jeans solto medio,Uma manga só,no,24,29
jaqueta,Manga longa,no,18,35
vestido solto longo,Manga longa,yes,36,50
vestido solto longo,Manga longa,no,43,43
calça aladin,unknown,no,37,40
blusa,Uma manga só,no,25,27
blusa,Manga curta,no,12,20
short jeans,unknown,no,33,39
vestido colado curto,Manga longa,no,36,38
cardigan,Manga longa,no,36,41
vestido jeans colado curto,Uma manga só,no,22,27
calça jeans,unknown,no,31,50
vestido jeans solto curto,Uma manga só,yes,31,41
calça jeans mom,unknown,yes,29,50
jaqueta,Manga longa,no,38,48
short jeans,unknown,no,37,42
saia jeans,unknown,yes,24,39
vestido solto longo,Manga longa,yes,36,50
cardigan,Manga longa,no,17,32
vestido solto longo,Manga 3/4,yes,37,50
cropped,Manga 3/4,no,32,33
vestido jeans colado medio,regata,no,23,28
short jeans,unknown,yes,29,43
vestido jeans colado curto,Manga 3/4,yes,22,30
calça jeans,unknown,no,44,50
macacao longo,Manga curta,no,34,44
blusa,Manga 3/4,no,23,26
vestido colado medio,Manga 3/4,yes,39,45
macacao longo,regata,no,37,47
short jeans,unknown,no,28,38
saia jeans,unknown,no,23,33
vestido colado longo,Manga 3/4,no,15,30
short,unknown,no,27,32
vestido solto longo,Uma manga só,no,19,34
sueter,Manga longa,no,39,42
short jeans,unknown,no,21,30
calça,unknown,no,29,36
saia,unknown,yes,25,38
cardigan,Manga longa,no,16,31
leggings,unknown,no,36,39
short jeans,unknown,no,34,40
short jeans,unknown,no,25,35
macaquinho,Manga curta,no,24,35
saia,unknown,yes,40,45
short jeans,unknown,no,37,42
short jeans,unknown,yes,28,43
vestido jeans solto curto,regata,yes,38,42
vestido solto medio,Manga longa,no,32,36
sueter,Manga longa,yes,23,38
saia,unknown,no,31,33
calça wide leg,unknown,no,29,35
short,unknown,no,33,34
short jeans,unknown,no,31,40
vestido jeans solto longo,regata,no,18,33
saia jeans,unknown,yes,25,38
short jeans,unknown,no,15,31
vestido jeans colado curto,Manga 3/4,no,16,21
vestido jeans solto medio,Manga curta,no,28,33
sueter,Manga longa,no,17,32
vestido solto medio,Uma manga só,no,37,38
short jeans,unknown,yes,19,35
vestido solto longo,Uma manga só,no,22,37
macacao longo,regata,yes,15,39
short,unknown,no,34,36
macaquinho,Manga curta,no,21,35
vestido colado medio,Manga 3/4,yes,17,25
saia,unknown,no,27,32
vestido solto longo,Uma manga só,no,32,45
calça,unknown,no,31,36
calça jeans mom,unknown,no,35,50
vestido jeans colado medio,regata,yes,39,45
calça skinny,unknown,no,29,35
calça skinny,unknown,no,35,38
calça skinny,unknown,yes,40,44
calça jeans wide leg,unknown,no,36,50
blusa,Manga longa,no,19,24
saia jeans,unknown,no,20,29
vestido jeans solto medio,Manga curta,no,15,20
vestido colado longo,regata,no,21,36
calça jeans,unknown,yes,48,50
calça jeans mom,unknown,no,28,48
short,unknown,yes,16,33
vestido jeans solto medio,Manga longa,yes,29,38
jaqueta,Manga longa,yes,31,44
vestido jeans colado curto,Manga 3/4,yes,40,45
cropped,regata,no,22,26
vestido jeans colado curto,Manga curta,no,15,20
jaqueta,Manga longa,no,39,49
calça mom,unknown,yes,15,34
saia,unknown,no,23,31
saia jeans,unknown,no,22,32
saia jeans,unknown,no,17,30
saia jeans,unknown,yes,23,38
leggings,unknown,no,39,41
short,unknown,no,35,37
vestido colado longo,Uma manga só,no,21,36
vestido colado longo,Manga 3/4,no,23,38
vestido jeans solto curto,Uma manga só,no,28,33
calça jeans skinny,unknown,no,19,45
vestido colado longo,Manga curta,yes,16,36
cropped,Manga curta,yes,33,39
calça jeans mom,unknown,yes,17,49
saia jeans,unknown,no,48,49
short,unknown,no,41,42
cardigan,Manga longa,no,40,41
vestido jeans solto longo,Uma manga só,no,34,47
calça skinny,unknown,yes,26,38
short,unknown,no,20,30
vestido jeans solto longo,Uma manga só,yes,18,37
blazer,Manga longa,no,31,40
calça jeans skinny,unknown,no,19,45
t-shirt,unknown,yes,10,25
vestido jeans solto medio,Manga curta,yes,33,41
vestido jeans solto medio,Manga 3/4,no,38,39
t-shirt,unknown,no,17,22
calça jeans,unknown,no,43,50
vestido jeans solto curto,regata,no,16,21
saia jeans,unknown,no,15,30
saia,unknown,no,28,32
cardigan,Manga longa,yes,31,44
calça mom,unknown,no,22,32
saia jeans,unknown,no,18,30
short jeans,unknown,no,23,33
blusa,Manga longa,no,28,30
saia jeans,unknown,no,22,32
calça jeans,unknown,no,33,50
jaqueta,Manga longa,no,19,35
t-shirt,unknown,no,24,27
jaqueta,Manga longa,no,29,41
vestido jeans colado curto,Manga curta,no,37,39
vestido jeans colado curto,regata,yes,22,30
vestido jeans colado curto,Manga longa,no,16,21
saia jeans,unknown,yes,22,36
vestido solto curto,Uma manga só,no,21,26
macaquinho,regata,yes,30,44
calça jeans aladin,unknown,no,27,47
blazer,Manga longa,yes,27,45
vestido jeans solto medio,Uma manga só,yes,29,37
leggings,unknown,yes,30,38
calça mom,unknown,yes,21,36
vestido jeans colado medio,Manga longa,no,19,24
calça,unknown,no,24,34
blusa,Manga curta,yes,13,23
saia,unknown,no,25,32
short jeans,unknown,no,26,36
leggings,unknown,no,17,30
saia,unknown,no,32,34
vestido solto longo,Manga longa,yes,40,50
saia jeans,unknown,yes,29,42
vestido colado longo,Uma manga só,no,21,36
blusa,regata,no,38,38
macaquinho,Uma manga só,no,39,41
calça,unknown,no,20,30
calça wide leg,unknown,yes,24,36
calça jeans,unknown,no,15,46
macaquinho,regata,no,49,50
calça jeans aladin,unknown,no,29,49
macaquinho,Manga longa,no,15,30
cropped,Manga longa,yes,29,34
leggings,unknown,no,29,35
vestido jeans colado medio,regata,no,38,39
calça wide leg,unknown,no,44,45
vestido colado longo,Manga longa,no,27,42
short,unknown,yes,32,40
saia,unknown,no,16,30
cropped,Manga longa,yes,27,31
calça jeans mom,unknown,no,31,50
cardigan,Manga longa,yes,16,36
short,unknown,no,38,40
saia jeans,unknown,yes,39,48
calça jeans,unknown,no,27,47
short jeans,unknown,yes,22,37
vestido jeans colado medio,Manga curta,no,38,39
calça jeans skinny,unknown,no,40,51
calça mom,unknown,no,37,39
calça,unknown,yes,21,36
vestido jeans colado curto,Manga longa,no,23,28
macacao longo,Manga curta,yes,33,46
macacao longo,Uma manga só,no,22,37
short jeans,unknown,no,37,42
vestido jeans solto curto,Uma manga só,yes,17,27
calça skinny,unknown,no,34,37
calça mom,unknown,no,38,40
vestido colado curto,Manga longa,no,27,32
macaquinho,regata,no,38,42
vestido solto curto,Manga 3/4,no,18,23
vestido jeans solto curto,Uma manga só,yes,16,26
vestido jeans solto curto,regata,no,26,31
short,unknown,no,32,34
short jeans,unknown,yes,38,46
saia,unknown,no,35,37
blazer,Manga longa,no,35,45
vestido jeans colado curto,Manga curta,yes,15,25
vestido colado medio,regata,yes,26,34
vestido jeans colado medio,Manga curta,yes,37,42
blazer,Manga longa,no,16,35
macacao longo,Manga longa,no,37,46
saia,unknown,no,40,42
saia jeans,unknown,yes,33,44
short,unknown,no,25,32
short jeans,unknown,yes,35,45
calça mom,unknown,no,19,30
vestido solto medio,Manga curta,no,23,28
short,unknown,yes,26,37
vestido jeans colado medio,Manga curta,no,30,35
blazer,Manga longa,yes,24,43
saia,unknown,no,34,36
vestido colado longo,Manga longa,yes,22,40
short jeans,unknown,no,26,36
calça jeans,unknown,no,19,45
cropped,Manga longa,yes,21,29
leggings,unknown,no,36,39
cropped,Manga longa,yes,18,27
vestido jeans colado medio,regata,no,31,36
blusa,regata,no,21,25
sueter,Manga longa,no,28,38
t-shirt,unknown,no,25,27
calça jeans mom,unknown,yes,40,50
calça aladin,unknown,no,32,36
calça skinny,unknown,no,20,30
sueter,Manga longa,no,33,40
vestido colado longo,regata,no,38,49
saia,unknown,no,31,33
vestido jeans colado curto,Manga 3/4,no,22,27
macacao longo,Manga curta,yes,19,39
saia jeans,unknown,yes,34,45
vestido colado medio,Manga curta,no,47,48
vestido jeans colado medio,Manga longa,no,35,37
vestido jeans solto medio,Manga longa,no,33,36
saia,unknown,no,26,32
t-shirt,unknown,no,25,27
blusa,Uma manga só,no,18,22
saia jeans,unknown,yes,35,45
blazer,Manga longa,no,22,37
short jeans,unknown,no,25,35
cardigan,Manga longa,no,29,39
short,unknown,no,32,35
vestido jeans colado curto,Uma manga só,no,21,26
calça jeans skinny,unknown,no,30,50
vestido jeans colado curto,regata,no,29,34
t-shirt,unknown,no,33,34
saia jeans,unknown,no,35,40
short,unknown,no,16,30
saia jeans,unknown,no,19,30
vestido jeans colado curto,Manga curta,yes,16,23
saia jeans,unknown,yes,28,42
vestido solto longo,Manga 3/4,no,35,47
vestido jeans solto curto,Manga longa,yes,46,48
calça jeans mom,unknown,no,22,46
vestido colado longo,Uma manga só,no,28,43
macacao longo,Manga 3/4,no,26,40
vestido jeans solto longo,Manga longa,no,38,49
cardigan,Manga longa,no,39,41
vestido jeans solto medio,Uma manga só,no,17,22
short jeans,unknown,no,29,39
calça jeans aladin,unknown,yes,34,50
jaqueta,Manga longa,no,27,40
short,unknown,no,22,31
saia jeans,unknown,no,22,32
vestido jeans colado medio,regata,yes,36,43
blusa,Manga curta,yes,13,24
vestido jeans colado curto,regata,no,16,21
t-shirt,unknown,no,33,34
vestido jeans colado curto,Uma manga só,no,15,20
short,unknown,no,15,30
vestido solto longo,regata,no,16,31
vestido solto curto,Uma manga só,yes,15,23
calça aladin,unknown,no,27,35
saia,unknown,no,24,32
calça jeans skinny,unknown,no,25,45
saia,unknown,yes,22,33
sueter,Manga longa,yes,18,36
vestido jeans solto medio,Uma manga só,no,17,22
saia jeans,unknown,no,30,41
short jeans,unknown,no,32,40
vestido jeans solto longo,Manga 3/4,no,28,43
calça mom,unknown,yes,26,39
blusa,Manga 3/4,no,40,40
saia,unknown,no,30,32
blusa,Uma manga só,no,17,22
calça aladin,unknown,no,37,40
vestido jeans solto longo,Manga curta,no,38,48
vestido solto medio,regata,no,25,30
short,unknown,yes,16,33
vestido colado longo,Manga 3/4,no,23,39
calça jeans,unknown,yes,16,49
short,unknown,no,25,32
vestido jeans solto curto,Manga 3/4,yes,22,30
saia,unknown,no,25,32
macacao longo,Manga longa,no,19,35
vestido solto medio,Uma manga só,no,29,34
calça jeans aladin,unknown,no,28,47
calça aladin,unknown,no,27,35
calça jeans wide leg,unknown,no,38,49
saia,unknown,no,17,30
vestido jeans solto curto,Manga longa,no,24,29
calça jeans aladin,unknown,no,28,48
calça skinny,unknown,yes,25,38
short jeans,unknown,no,27,37
cropped,Manga curta,no,26,27
vestido jeans colado medio,Manga curta,no,16,21
calça jeans,unknown,no,22,44
vestido jeans solto longo,regata,no,23,38
saia jeans,unknown,no,34,40
macacao longo,Uma manga só,no,19,35
vestido solto curto,Uma manga só,no,23,28
t-shirt,unknown,no,17,22
cropped,Manga longa,no,32,33
vestido jeans solto curto,Uma manga só,yes,20,30
sueter,Manga longa,no,28,38
calça jeans,unknown,no,23,45
calça,unknown,no,29,35
calça jeans,unknown,no,25,45
sueter,Manga longa,no,23,35
saia jeans,unknown,no,36,40
vestido jeans colado curto,Uma manga só,no,29,34
vestido jeans solto curto,Manga 3/4,no,25,30
blazer,Manga longa,no,29,40
vestido solto longo,regata,no,16,31
vestido jeans solto medio,Manga 3/4,no,24,29
saia,unknown,no,38,40
calça aladin,unknown,yes,21,35
saia jeans,unknown,no,41,43
blusa,Manga curta,no,34,35
leggings,unknown,no,23,32
short jeans,unknown,no,40,45
vestido solto curto,Manga curta,yes,19,29
vestido colado medio,regata,no,40,41
saia jeans,unknown,yes,19,34
saia jeans,unknown,no,31,40
vestido jeans solto curto,regata,yes,32,41
leggings,unknown,no,24,34
jaqueta,Manga longa,no,23,38
jaqueta,Manga longa,no,17,35
short jeans,unknown,no,34,40
vestido jeans solto curto,Manga 3/4,no,36,37
vestido jeans solto longo,Manga curta,no,30,45
short jeans,unknown,yes,45,47
cropped,Manga 3/4,yes,17,27
macacao longo,Uma manga só,no,19,35
calça jeans,unknown,yes,46,46
cropped,regata,yes,16,24
vestido jeans colado medio,Manga 3/4,no,49,50
t-shirt,unknown,no,22,26
vestido colado longo,Manga longa,yes,15,34
vestido jeans solto curto,Uma manga só,no,26,31
calça,unknown,yes,31,39
saia,unknown,no,37,38
vestido colado longo,Manga 3/4,no,29,44
calça jeans mom,unknown,no,23,45
vestido colado curto,Manga longa,no,34,36
t-shirt,unknown,yes,12,25
blazer,Manga longa,yes,17,40
saia,unknown,yes,17,33
vestido jeans solto curto,Manga curta,yes,40,45
cropped,Manga curta,no,19,23
vestido solto longo,Manga 3/4,no,28,43
vestido jeans solto curto,Manga longa,no,23,29
blusa,Manga curta,no,27,29
saia,unknown,yes,33,38
calça jeans,unknown,no,42,50
vestido solto medio,Manga longa,no,38,40
calça skinny,unknown,no,16,30
calça aladin,unknown,yes,40,47
vestido solto medio,Uma manga só,no,23,28
calça jeans,unknown,no,37,50
vestido jeans colado curto,Manga longa,yes,25,35
macacao longo,Manga longa,yes,19,38
saia jeans,unknown,no,19,30
vestido solto medio,regata,no,30,35
vestido solto longo,Manga curta,yes,28,45
saia,unknown,yes,35,42
vestido solto longo,Uma manga só,no,40,49
cropped,regata,no,31,32
vestido colado medio,Manga 3/4,yes,27,37
short jeans,unknown,no,21,31
vestido jeans solto longo,Uma manga só,no,15,30
vestido jeans colado medio,Manga 3/4,no,22,27
cardigan,Manga longa,no,33,39
leggings,unknown,no,31,36
macaquinho,regata,yes,24,39
sueter,Manga longa,yes,37,45
short jeans,unknown,no,16,30
vestido solto longo,regata,yes,17,35
calça jeans aladin,unknown,no,31,51
calça jeans,unknown,no,17,46
calça jeans aladin,unknown,no,36,51
saia,unknown,yes,32,37
short jeans,unknown,no,28,38
vestido jeans colado medio,Uma manga só,no,31,35
vestido colado curto,Manga longa,no,29,34
vestido jeans solto medio,Uma manga só,no,43,44
saia,unknown,yes,24,34
short,unknown,yes,19,33
vestido jeans solto longo,Manga longa,no,28,43
vestido solto curto,Uma manga só,no,38,40
t-shirt,unknown,yes,22,30
vestido jeans solto longo,regata,yes,40,51
vestido jeans colado medio,Uma manga só,no,21,26
vestido jeans solto medio,Uma manga só,yes,24,33
blusa,Manga longa,no,27,29
vestido jeans solto medio,regata,no,35,37
vestido jeans solto curto,Manga curta,no,35,37
cropped,Uma manga só,no,31,32
saia,unknown,yes,39,44
cropped,Manga curta,no,24,27
short jeans,unknown,no,37,42
vestido jeans solto curto,Manga 3/4,no,34,37
vestido solto curto,Manga longa,no,25,30
vestido jeans colado curto,Manga curta,yes,23,32
saia jeans,unknown,yes,29,43
calça,unknown,no,33,37
vestido solto longo,Manga curta,yes,28,47
vestido jeans colado medio,regata,no,31,35
vestido colado medio,regata,yes,35,41
vestido jeans colado medio,regata,yes,35,40
saia jeans,unknown,no,21,30
macaquinho,Uma manga só,yes,28,43
t-shirt,unknown,yes,25,31
sueter,Manga longa,no,27,37
blusa,Manga longa,yes,35,40
blazer,Manga longa,yes,17,39
short,unknown,no,37,39
vestido jeans solto longo,Uma manga só,no,39,49
vestido solto longo,Manga 3/4,no,17,32
calça wide leg,unknown,no,34,38
calça jeans wide leg,unknown,no,26,46
blusa,Uma manga só,no,28,29
cropped,Uma manga só,no,26,28
jaqueta,Manga longa,no,19,35
short,unknown,no,37,39
blazer,Manga longa,yes,33,47
saia,unknown,yes,28,37
vestido jeans colado curto,regata,no,20,25
saia,unknown,yes,24,34
t-shirt,unknown,yes,32,36
short jeans,unknown,no,31,40
vestido jeans colado medio,Manga longa,no,35,36
macacao longo,Uma manga só,no,39,49
sueter,Manga longa,yes,21,38
short jeans,unknown,no,29,39
t-shirt,unknown,yes,11,23
vestido jeans solto longo,Uma manga só,no,30,45
saia jeans,unknown,yes,25,38
calça jeans wide leg,unknown,no,24,45
short,unknown,no,38,39
calça aladin,unknown,no,28,36
saia jeans,unknown,no,25,35
macacao longo,Manga 3/4,no,36,46
vestido solto longo,Uma manga só,yes,29,47
vestido jeans colado medio,Manga 3/4,no,19,24
short jeans,unknown,no,29,39
vestido jeans colado curto,Manga 3/4,no,20,25
